,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
19,Bundesliga,Sa. 30.11.2019,16,,,170,SK Rapid Wien,,,413,LASK,cb08a72a572a318a60ede8bc64b14bf5ec92a26b34621e49ebe25c6c565cd1a5,-:-,2019/20,-,0
20,Bundesliga,Sa. 07.12.2019,17,,,413,LASK,,,4441,Wolfsberger AC,c5c34d38a55e624ad3a6f7a8c818cdf9746ee8a52c209053d389a796b4c2b02d,-:-,2019/20,-,0
21,Bundesliga,Sa. 14.12.2019,18,,,122,SK Sturm Graz,,,413,LASK,ef24a520e226b15f60ee282b7492b907c788efa76b3a48e254bf81fddc3abbbb,-:-,2019/20,-,0
22,Bundesliga,Sa. 15.02.2020,19,,,413,LASK,,,409,Red Bull Salzburg,6b19c534ed0e678eeaac8a5e51a2bf23315c3460eefe7e92be636961e3a97cfd,-:-,2019/20,-,0
23,Bundesliga,Sa. 22.02.2020,20,,,2662,SKN St. Pölten,,,413,LASK,87700720a3a9a35297b237099fdf11ce27ede0c3ebf9260399f5260689af3373,-:-,2019/20,-,0
24,Bundesliga,Sa. 29.02.2020,21,,,4467,TSV Hartberg,,,413,LASK,16f28d70f833486bc5e0c35888d8c08bd913ea0b0831a9522b306216fa3be4e1,-:-,2019/20,-,0
25,Bundesliga,Sa. 07.03.2020,22,,,413,LASK,,,856,SV Mattersburg,ffb0b5b6f91012eb40b40f6fe4d979084566905e179e1005986bc2292bfbe500,-:-,2019/20,-,0
26,ÖFB-Cup,Sa. 20.07.2019,1.Runde,Valérien Ismaël,3-4-3 flach,413,LASK,,,771,Union Vöcklamarkt,5db4bfed0e1745572b8edaa8744605d0a365581b6e33946c6f0324889f5d073c,2:6,2019/20,19:00,2500
27,ÖFB-Cup,Di. 24.09.2019,2.Runde,,,413,LASK,,,18517,SC Wiener Viktoria,4149159aae902ba7b0d007842b51e7a45d065da636f2d9a337ba2d7e8ab29ecf,-:-,2019/20,-,0
28,Bundesliga,Sa. 27.07.2019,1,,,14,FK Austria Wien,Thomas Silberberger,3-4-1-2,2446,WSG Tirol,1ba0672eb12341c737068e73b27d392c75e173dd4ac807efda072e9b507046db,3:1,2019/20,17:00,4600
29,Bundesliga,Sa. 03.08.2019,2,Thomas Silberberger,3-4-3 flach,2446,WSG Tirol,,,3551,SC Rheindorf Altach,9f89d3f0f248db4f40691b02f3de2f6027249da73977d798bb496ad665e1bd6a,3:2,2019/20,17:00,4038
30,Bundesliga,So. 11.08.2019,3,,,2662,SKN St. Pölten,Thomas Silberberger,3-4-1-2,2446,WSG Tirol,1c7ff0ad7504f50f25b955707c019cc63db64a2c76cfffcb9b881203b6f7e0df,1:1,2019/20,17:00,3050
31,Bundesliga,Sa. 17.08.2019,4,,,2446,WSG Tirol,,,413,LASK,498294d9cd2d76d70e80f824df3407b5cf76dfc84535766a5c571e2faaed2ea5,-:-,2019/20,17:00,0
32,Bundesliga,So. 25.08.2019,5,,,2446,WSG Tirol,,,122,SK Sturm Graz,dd43bbd355a7ce9b163b1eef486a4ab1074b7c12329815c2888960cd90073965,-:-,2019/20,17:00,0
33,Bundesliga,Sa. 31.08.2019,6,,,409,Red Bull Salzburg,,,2446,WSG Tirol,8b8335b1f6ea664a6913f6379931daff3fadbe7c8bd6bbe2c85b7bf9857e42ef,-:-,2019/20,17:00,0
34,Bundesliga,Sa. 14.09.2019,7,,,2446,WSG Tirol,,,856,SV Mattersburg,cd7632ae29d301848285a8949da7242cbc9fd2b797896484ca624134be0f2815,-:-,2019/20,-,0
35,Bundesliga,Sa. 21.09.2019,8,,,170,SK Rapid Wien,,,2446,WSG Tirol,075a3a4d6270ad70ae74ee1d1a628fe43b8625cd495b4bb954faa0bfc88a8d20,-:-,2019/20,-,0
36,Bundesliga,Sa. 28.09.2019,9,,,2446,WSG Tirol,,,4441,Wolfsberger AC,f5452214eabe7dd37a7c0e7602a554e8d580b2dd80136bf084a6bf55dad5e013,-:-,2019/20,-,0
37,Bundesliga,Sa. 05.10.2019,10,,,2446,WSG Tirol,,,503,FC Admira Wacker Mödling,f25f7422440d28baa6e29f8e2ec6822f9fefd8809a86ebbeda67814258620e96,-:-,2019/20,-,0
38,Bundesliga,Sa. 19.10.2019,11,,,4467,TSV Hartberg,,,2446,WSG Tirol,5019dfb6d13f67f8bdf4a1ea9caa4810fa30e19b77a620accc65c95118bad945,-:-,2019/20,-,0
39,Bundesliga,Sa. 26.10.2019,12,,,2446,WSG Tirol,,,14,FK Austria Wien,34736e5e2a2321c7be2c944619f9e7136356f65e04ed7c2eaa20ee1c19587ef3,-:-,2019/20,-,0
40,Bundesliga,Sa. 02.11.2019,13,,,3551,SC Rheindorf Altach,,,2446,WSG Tirol,b3c15d16454b61732707edac39b8487e6b68387761fa766cb69d24533928c837,-:-,2019/20,-,0
41,Bundesliga,Sa. 09.11.2019,14,,,2446,WSG Tirol,,,2662,SKN St. Pölten,377e5303c4784013084bd5b9cbc6e714a9e1a7191652e25df514729ba91ecf6d,-:-,2019/20,-,0
42,Bundesliga,Sa. 23.11.2019,15,,,413,LASK,,,2446,WSG Tirol,5d918a833756281d5b0c750963d33ae9a218f8d79eb08b36c65a899981a4a08e,-:-,2019/20,-,0
43,Bundesliga,Sa. 30.11.2019,16,,,122,SK Sturm Graz,,,2446,WSG Tirol,cb08a72a572a318a60ede8bc64b14bf5ec92a26b34621e49ebe25c6c565cd1a5,-:-,2019/20,-,0
44,Bundesliga,Sa. 07.12.2019,17,,,2446,WSG Tirol,,,409,Red Bull Salzburg,c5c34d38a55e624ad3a6f7a8c818cdf9746ee8a52c209053d389a796b4c2b02d,-:-,2019/20,-,0
45,Bundesliga,Sa. 14.12.2019,18,,,856,SV Mattersburg,,,2446,WSG Tirol,ef24a520e226b15f60ee282b7492b907c788efa76b3a48e254bf81fddc3abbbb,-:-,2019/20,-,0
46,Bundesliga,Sa. 15.02.2020,19,,,2446,WSG Tirol,,,170,SK Rapid Wien,6b19c534ed0e678eeaac8a5e51a2bf23315c3460eefe7e92be636961e3a97cfd,-:-,2019/20,-,0
47,Bundesliga,Sa. 22.02.2020,20,,,4441,Wolfsberger AC,,,2446,WSG Tirol,87700720a3a9a35297b237099fdf11ce27ede0c3ebf9260399f5260689af3373,-:-,2019/20,-,0
48,Bundesliga,Sa. 29.02.2020,21,,,503,FC Admira Wacker Mödling,,,2446,WSG Tirol,16f28d70f833486bc5e0c35888d8c08bd913ea0b0831a9522b306216fa3be4e1,-:-,2019/20,-,0
49,Bundesliga,Sa. 07.03.2020,22,,,2446,WSG Tirol,,,4467,TSV Hartberg,ffb0b5b6f91012eb40b40f6fe4d979084566905e179e1005986bc2292bfbe500,-:-,2019/20,-,0
50,ÖFB-Cup,Fr. 19.07.2019,1.Runde,Thomas Silberberger,?,2446,WSG Tirol,,,4444,SK Treibach,329c4e5c3ab738e9372f4a5b9a61b6dfb7185c0b4d27befe4be2f4e6f0230ba4,1:2,2019/20,18:30,900
51,ÖFB-Cup,Mi. 25.09.2019,2.Runde,,,14,FK Austria Wien,,,2446,WSG Tirol,f8ec9874258e19d1111f461d5643afe0b48e147f6fdf57f1a798bee0101cc6d5,-:-,2019/20,18:30,0
